tt0799934|Be Kind Rewind|2008|Comedy|Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero dollars.|Jack Black, Yasiin Bey, Danny Glover, Mia Farrow|1|0|Ended
tt0463985|The Fast and the Furious: Tokyo Drift|2006|Action, Crime, Thriller|A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.|Lucas Black, Damien Marzette, Trula M. Marcus, Zachery Ty Bryan|1|0|Ended
tt0304711|The Order|2003|Action, Mystery, Thriller|A young priest is sent to Rome to investigate the troubling death of the head of his order.|Heath Ledger, Shannyn Sossamon, Benno Fürmann, Mark Addy|1|0|Ended
tt0349205|Cheaper by the Dozen|2003|Comedy, Family|With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.|Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling|1|0|Ended
tt0274812|Secretary|2002|Comedy, Drama, Romance|A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.|James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren|1|0|Ended
tt1092002|Kiss of Life|2003|Comedy, Romance|Before his marriage in Milos an Aegean island, 30-year old Paschalis ends up accidentally in Sifnos, where he meets a mysterious photographer.Will he finally reach the church? And what is ...|Laertis Malkotsis, Katerina Papoutsaki, Zeta Douka, Themos Anastasiadis|1|0|Ended
tt1087835|Email to Bill Gates|2007|Drama|Young German boy whose father tells him that Microsoft billionaire Bill Gates can solve anything. His father dies and the little boy makes a trip to Seattle with his grandfather to find Bill Gates.|Katharina Böhm, Jörg Schüttauf, Joel Eisenblätter, Dominique Chiout|1|0|Ended
tt0401248|Beautiful Boxer|2004|Action, Drama, Sport|Bio-pic of transgender Muay Thai boxer Parinya Charoenphol who pursued the sport to pay for her sex change operation.|Asanee Suwan, Sorapong Chatree, Orn-Anong Panyawong, Nukkid Boonthong|1|0|Ended
tt0386387|Contergan|2007|Documentary|N/A|N/A|1|0|Ended
tt1094249|Hotel Chevalier|2007|Short, Drama, Romance|A prologue of one heart-breaking history of love and the prologue of the travel told in The Darjeeling Limited (2007).|Jason Schwartzman, Natalie Portman, Waris Ahluwalia, Michel Castejon|1|0|Ended
tt0376105|Racing Stripes|2005|Adventure, Comedy, Drama|An abandoned zebra grows up believing he is a racehorse, and, with the help of his barnyard friends and a teenage girl, sets out to achieve his dream of racing with thoroughbreds.|Bruce Greenwood, Hayden Panettiere, Caspar Poyck, Gary Bullock|1|0|Ended
tt0120824|The Shipping News|2001|Drama|An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.|Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett|1|0|Ended
tt0365066|Clubhouse Detectives in Big Trouble|2002|Adventure, Family|In need of cash to decorate their hut, young sleuths use a map to search for treasure.|Jonathan Cronin, Brittany Armstrong, Michael Glauser, Cameron Mainwaring|1|0|Ended
tt0386862|The Forest for the Trees|2004|Drama|As an awkward idealistic high school teacher begins her first job in the city, things turn out to be much tougher than she had imagined.|Eva Löbau, Daniela Holtz, Jan Neumann, Ilona Schulz|1|0|Ended
tt0264616|Frailty|2001|Crime, Drama, Thriller|"A man confesses to an FBI agent his family s story of how his religious fanatic father s visions lead to a series of murders to destroy supposed ""demons."""|Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O Leary|1|0|Ended
